filename,flair_dice,flair_sens,flair_prec,t1c_dice,t1c_sens,t1c_prec,t2_dice,t2_sens,t2_prec,fus2_dice,fus2_sens,fus2_prec,fus3_dice,fus3_sens,fus3_prec
BRATS_460.nii.gz,0.726,0.575,0.986,0.802,0.673,0.990,0.602,0.431,1.000,0.758,0.808,0.714,0.805,0.677,0.993
BRATS_461.nii.gz,0.784,0.645,1.000,0.373,0.555,0.281,0.628,0.463,0.974,0.771,0.628,1.000,0.808,0.680,0.996
BRATS_462.nii.gz,0.693,0.573,0.876,0.001,0.001,1.000,0.508,0.340,1.000,0.449,0.775,0.316,0.548,0.378,0.997
BRATS_463.nii.gz,0.724,0.939,0.590,0.346,0.772,0.223,0.586,0.550,0.628,0.443,0.967,0.288,0.928,0.876,0.987
BRATS_464.nii.gz,0.774,0.632,0.999,0.829,0.708,0.998,0.846,0.748,0.973,0.755,0.606,1.000,0.711,0.551,1.000
BRATS_465.nii.gz,0.836,0.741,0.958,0.210,0.418,0.140,0.838,0.767,0.925,0.876,0.820,0.939,0.923,0.885,0.963
BRATS_466.nii.gz,0.932,0.893,0.974,0.699,0.622,0.798,0.897,0.913,0.883,0.930,0.909,0.952,0.956,0.960,0.953
BRATS_467.nii.gz,0.909,0.888,0.932,0.001,0.000,1.000,0.831,0.711,1.000,0.619,0.961,0.457,0.912,0.906,0.918
BRATS_468.nii.gz,0.630,0.460,1.000,0.503,0.347,0.916,0.598,0.533,0.681,0.786,0.793,0.780,0.718,0.650,0.801
BRATS_469.nii.gz,0.940,0.911,0.970,0.001,0.000,1.000,0.838,0.771,0.918,0.887,0.831,0.951,0.845,0.732,1.000
BRATS_470.nii.gz,0.899,0.820,0.994,0.493,0.974,0.330,0.801,0.872,0.741,0.891,0.855,0.931,0.905,0.830,0.994
BRATS_471.nii.gz,0.938,0.936,0.941,0.437,0.280,1.000,0.441,0.289,0.933,0.724,0.765,0.687,0.760,0.633,0.951
